rank,address,maker_volume_usd,taker_volume_usd,trades,pure_maker
1,0x6480542954b70a674a74bd1a6015dec362dc8dc5,16138435.26,2317906.72,14977,False
2,0x4c2966a198cd7ac982110d0219b037afa9997570,14853402.54,1321369.94,10534,False
3,0xa8b202e6e9a4c2091b6860f1f5c9e9119bbc9a39,14428237.07,5477552.64,1252,False
4,0x204f72f35326db932158cba6adff0b9a1da95e14,11171667.28,17055063.91,72823,False
5,0x6d3c5bd13984b2de47c3a88ddc455309aab3d294,10461592.24,2733887.18,48532,False
6,0x241f846866c2de4fb67cdb0ca6b963d85e56ef50,9527017.02,6840031.73,1293,False
7,0xe8dd7741ccb12350957ec71e9ee332e0d1e6ec86,9421542.46,9031789.66,163437,False
8,0x4133bcbad1d9c41de776646696f41c34d0a65e70,9137280.89,4997496.51,73508,False
9,0xd04d93be590ded67b99f053d4b6d29d3f8483312,8014815.21,3980580.79,597,False
10,0x43e98f912cd6ddadaad88d3297e78c0648e688e5,8012283.99,2122076.4,19161,False
11,0x2663daca3cecf3767ca1c3b126002a8578a8ed1f,7451678.6,76.94,29386,False
12,0xa61ef8773ec2e821962306ca87d4b57e39ff0abd,6907601.23,8596.24,7563,False
13,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,6387299.18,1673261.39,89700,False
14,0xe3726a1b9c6ba2f06585d1c9e01d00afaedaeb38,5853432.8,4123325.97,200693,False
15,0x0b9cae2b0dfe7a71c413e0604eaac1c352f87e44,5760195.47,4756542.59,3590,False
16,0x2d58182d23f73967a9eff97a6020b73b7b891aea,5577029.84,3781492.2,615,False
17,0x37c1874a60d348903594a96703e0507c518fc53a,5570078.19,6130561.18,3875,False
18,0x8acdc02785973539db164133ce8b86e3fe5c56ed,5330855.01,5168672.9,10982,False
19,0x7af9bac9328c7cec1f9d07786e59576b608db408,5275522.22,3297395.68,1094,False
20,0xc9b6227a295985591fe576ff2e054267a78a9b6a,5237434.3,574376.36,4576,False
21,0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,4950120.06,859967.44,951,False
22,0xcb3143ee858e14d0b3fe40ffeaea78416e646b02,4822579.66,4792842.93,74490,False
23,0x2a2c53bd278c04da9962fcf96490e17f3dfb9bc1,4800531.0,1782566.45,2156,False
24,0xfdc07e182e6f959256295567e450a8727272fa79,4635561.36,2403193.48,546,False
25,0xfbfd14dd4bb607373119de95f1d4b21c3b6c0029,4624080.08,1289513.7,1568,False
26,0x61b4bf91f2a7a1ec57c0bec7aae7aab03b4a59f3,4564498.75,4410155.55,9223,False
27,0xc2e7800b5af46e6093872b177b7a5e7f0563be51,4539906.26,6030955.46,67,False
28,0x184c93421e2c6b7eb5991b77af892db4a780a685,4458163.75,4312452.12,8555,False
29,0x689ae12e11aa489adb3605afd8f39040ff52779e,4403255.0,4378812.36,5460,False
30,0x4c237d8b5b8e1279c68ebd4fe51671119121031f,4293521.14,4163216.35,8688,False
31,0x39d662433c8f18482f628a7b71955f30586d7dc2,4034961.19,3858214.32,7968,False
32,0x8e86476471e1c84602a8ae5eb555544b30bd6b7b,3835636.35,3706333.95,7381,False
33,0x58907f3f974ee5eee20e7a037e944cf31b529cd7,3374665.74,3189999.32,6401,False
34,0x742defec5672b86ae1366546977323d0b0fb33fb,3371276.77,2515617.49,1224,False
35,0xe40ea00e74059c76c0035c919ef6b99c3e25a94d,3343039.02,217429.76,8192,False
36,0x02227b8f5a9636e895607edd3185ed6ee5598ff7,3163256.63,3295783.52,929,False
37,0x68f970da52fb8b503485c1b49b13ffbbab11f0bb,3096589.62,2987592.9,5711,False
38,0x6ac5bb06a9eb05641fd5e82640268b92f3ab4b6e,2953601.29,315065.95,9874,False
39,0x801ba46b0e7ba3f82e6a3cfcedb436318e43e036,2949713.48,9845.86,43488,False
40,0xfedc381bf3fb5d20433bb4a0216b15dbbc5c6398,2915447.95,1447858.52,24378,False
41,0x3b5c629f114098b0dee345fb78b7a3a013c7126e,2881347.34,876121.98,3212,False
42,0x7ea571c40408f340c1c8fc8eaacebab53c1bde7b,2753068.6,2227834.93,16520,False
43,0x0c0e270cf879583d6a0142fc817e05b768d0434e,2745837.65,44120.65,8003,False
44,0x8a6c6811e8937f9e8afc1b9249fa540262c30b3f,2731653.18,4224712.72,91,False
45,0xd1be0932c621cc31edb32eae5cc7e8394faccc57,2722141.05,3724528.3,716,False
46,0x68146921df11eab44296dc4e58025ca84741a9e7,2697042.44,961144.46,160976,False
47,0x58b3380f71bd6c706dd398a5e60bde55fa3a653c,2688766.23,1729567.01,1064,False
48,0xbebe49168cc3fe33fd9060c6fc83355c3359a8b5,2626671.43,763277.05,761,False
49,0x395c354bf541b3d71d38130e380a415cb942ee8d,2617059.79,2185589.08,900,False
50,0xefbc5fec8d7b0acdc8911bdd9a98d6964308f9a2,2532858.96,3075384.52,1063,False
51,0x67bc6af6806df61ba5144b125174ecf5f821d54e,2467335.32,1292916.54,13432,False
52,0x4bac379da2f29d87c01ff737843e396a2cec02b1,2408180.98,124080.42,19816,False
53,0xab93715237441ac1db2e91f06228a78a256f31ea,2296953.37,1.02,8,False
54,0xe4453c9f8f8b2e6ac0471e518a4dc2438b721d7e,2275107.53,1.0,6,False
55,0xf6d91fbbefacade7d5908eb13e16acf1efeb305e,2253907.2,2595160.41,852,False
56,0x843c0fdaab99f50aa1ebc7002e6e31cfdd0d4863,2231047.36,16779.92,603,False
57,0xa1aa96c9d7bba38aba523f7e5e73bf69053cf2b6,2211579.13,687531.42,1412,False
